epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,28232,0.40138,0.45002,0.17111,0.80088,0.9897,0.99292,0.99227,0.92428,0.9897,0.99292,0.99227,0.79564,0.38103,0.43431,0.15069,0.80606,0.002397,0.002397,0.002397
69,28524.1,0.39379,0.43086,0.16925,0.80153,0.98981,0.99321,0.99234,0.9296,0.98981,0.99321,0.99234,0.79093,0.37393,0.43164,0.14556,0.80586,0.002388,0.002388,0.002388
70,29026.5,0.37988,0.39768,0.16209,0.81274,0.99109,0.99505,0.99233,0.92693,0.99109,0.99505,0.99233,0.8019,0.3781,0.44135,0.14758,0.80392,0.002379,0.002379,0.002379
71,29367.4,0.39137,0.42854,0.16769,0.80599,0.98449,0.9929,0.9913,0.92241,0.98449,0.9929,0.9913,0.7919,0.37933,0.44333,0.15231,0.80437,0.00237,0.00237,0.00237
72,29815.4,0.39122,0.43463,0.17002,0.80973,0.99224,0.99443,0.99268,0.92447,0.99224,0.99443,0.99268,0.79866,0.38502,0.43498,0.1536,0.8069,0.002361,0.002361,0.002361
73,30187.6,0.38743,0.41063,0.16241,0.80885,0.99208,0.99167,0.99227,0.92587,0.99208,0.99167,0.99227,0.79856,0.37303,0.44383,0.14114,0.80558,0.002352,0.002352,0.002352
74,30500.2,0.37721,0.39206,0.15897,0.80696,0.98944,0.99487,0.99237,0.93012,0.98944,0.99487,0.99237,0.79497,0.37593,0.43393,0.14714,0.80472,0.002343,0.002343,0.002343
75,30863.4,0.39393,0.44249,0.16954,0.80409,0.93883,0.88351,0.94527,0.87538,0.92047,0.8686,0.91226,0.69302,0.39909,1.32749,0.41676,0.81743,0.002334,0.002334,0.002334
76,31195.2,0.37313,0.41186,0.16032,0.80543,0.99096,0.99332,0.99201,0.92614,0.99096,0.99332,0.99201,0.79431,0.38009,0.43373,0.14986,0.80654,0.002325,0.002325,0.002325
77,31559.5,0.39013,0.43121,0.16863,0.80717,0.98639,0.99139,0.99209,0.9263,0.98639,0.99139,0.99209,0.7948,0.37847,0.4435,0.15138,0.80566,0.002316,0.002316,0.002316
78,32015.2,0.37141,0.40479,0.1611,0.80281,0.98905,0.99443,0.99219,0.92644,0.98905,0.99443,0.99219,0.79634,0.37787,0.43039,0.14739,0.8044,0.002307,0.002307,0.002307
79,32367.7,0.39209,0.43709,0.16508,0.81045,0.97411,0.99058,0.98876,0.9229,0.97411,0.99058,0.98861,0.79087,0.38185,0.51087,0.16413,0.80511,0.002298,0.002298,0.002298
80,32696.3,0.38632,0.42455,0.16085,0.80121,0.98922,0.99114,0.99245,0.92832,0.98922,0.99114,0.99245,0.79632,0.37528,0.44664,0.1433,0.80397,0.002289,0.002289,0.002289
81,33020.7,0.3738,0.41694,0.15737,0.8046,0.99149,0.99067,0.99308,0.92921,0.99149,0.99067,0.99308,0.80332,0.37304,0.44429,0.14406,0.80407,0.00228,0.00228,0.00228
82,33536.9,0.39591,0.44909,0.17131,0.80483,0.99144,0.9897,0.99329,0.929,0.99144,0.9897,0.99329,0.79363,0.37649,0.45883,0.14797,0.80674,0.002271,0.002271,0.002271
83,33865.8,0.38405,0.4416,0.15886,0.80288,0.99095,0.99055,0.99244,0.92846,0.9914,0.99122,0.99262,0.80113,0.37797,0.44311,0.14486,0.80659,0.002262,0.002262,0.002262
84,34329.5,0.38183,0.41656,0.16236,0.80229,0.99044,0.99364,0.99224,0.9242,0.99044,0.99364,0.99224,0.79491,0.37933,0.45075,0.14758,0.80592,0.002253,0.002253,0.002253
85,34646.3,0.37781,0.39997,0.16071,0.80222,0.99068,0.9939,0.99259,0.92869,0.99068,0.9939,0.99259,0.78918,0.37291,0.45375,0.14125,0.8062,0.002244,0.002244,0.002244
86,35187.9,0.38735,0.42806,0.16663,0.80146,0.98379,0.97152,0.99024,0.91976,0.98379,0.97152,0.99024,0.78694,0.38579,0.48026,0.18101,0.80874,0.002235,0.002235,0.002235
87,35548.4,0.38013,0.41152,0.15931,0.80619,0.98893,0.99441,0.99262,0.92977,0.98893,0.99441,0.99262,0.79521,0.37689,0.43553,0.14848,0.80461,0.002226,0.002226,0.002226
88,35969.4,0.37458,0.40349,0.15635,0.80261,0.99249,0.99305,0.99262,0.92654,0.99249,0.99305,0.99262,0.79616,0.37844,0.44093,0.14287,0.80618,0.002217,0.002217,0.002217
89,36379.9,0.37486,0.4009,0.16022,0.80569,0.98412,0.99051,0.98957,0.9251,0.98412,0.99051,0.98957,0.78889,0.37852,0.44353,0.1611,0.80571,0.002208,0.002208,0.002208
90,36828.8,0.3717,0.40978,0.16008,0.80086,0.98682,0.98904,0.9921,0.92703,0.98682,0.98904,0.9921,0.7925,0.3701,0.44156,0.14465,0.80341,0.002199,0.002199,0.002199
